Date,MyWay,Paper Ticket,Total
14/09/2020,8156,203,8359
15/09/2020,8387,213,8600
20/09/2020,2766,172,2938
17/09/2020,8409,191,8600
19/09/2020,4575,373,4948
16/09/2020,8544,218,8762
18/09/2020,8642,295,8937
21/09/2020,7771,205,7976
22/09/2020,8388,231,8619
23/09/2020,8256,198,8454
25/09/2020,7340,269,7609
24/09/2020,8512,222,8734
27/09/2020,3240,198,3438
28/09/2020,7441,382,7823
26/09/2020,4306,360,4666
01/10/2020,7938,342,8280
02/10/2020,7982,439,8421
29/09/2020,8010,355,8365
30/09/2020,7391,254,7645
05/10/2020,3343,270,3613
08/10/2020,7138,335,7473
06/10/2020,6911,309,7220
04/10/2020,3514,412,3926
03/10/2020,4358,490,4848
07/10/2020,7155,382,7537
09/10/2020,7885,424,8309
12/10/2020,8354,275,8629
13/10/2020,8837,247,9084
11/10/2020,3374,189,3563
14/10/2020,8916,283,9199
10/10/2020,4713,403,5116
18/10/2020,3407,239,3646
17/10/2020,4438,372,4810
20/10/2020,9028,230,9258
19/10/2020,8479,207,8686
21/10/2020,9079,274,9353
15/10/2020,9054,276,9330
16/10/2020,9062,329,9391
22/10/2020,9190,254,9444
24/10/2020,3614,306,3920
25/10/2020,2834,209,3043
23/10/2020,8154,351,8505
27/10/2020,8435,184,8619
28/10/2020,9025,256,9281
03/11/2020,9157,257,9414
02/11/2020,7526,237,7763
30/10/2020,7937,357,8294
01/11/2020,3068,191,3259
31/10/2020,2843,326,3169
29/10/2020,8946,210,9156
05/11/2020,8071,188,8259
26/10/2020,7181,161,7342
06/11/2020,9353,354,9707
04/11/2020,8673,220,8893
20/07/2020,7445,214,7659
08/11/2020,3406,200,3606
07/11/2020,4611,357,4968
10/11/2020,9706,302,10008
11/11/2020,9784,292,10076
12/11/2020,9118,238,9356
13/11/2020,9572,372,9944
15/11/2020,3675,291,3966
14/11/2020,5408,490,5898
16/11/2020,8911,304,9215
17/11/2020,10092,310,10402
09/11/2020,8880,286,9166
18/11/2020,10300,335,10635
19/11/2020,10166,338,10504
21/11/2020,5450,505,5955
20/11/2020,10472,494,10966
22/11/2020,3598,229,3827
23/11/2020,8955,241,9196
24/11/2020,10240,311,10551
27/11/2020,11285,545,11830
26/11/2020,10394,341,10735
25/11/2020,10306,315,10621
28/11/2020,5103,533,5636
29/11/2020,3903,291,4194
30/11/2020,9779,307,10086
01/12/2020,10243,299,10542
02/12/2020,10634,368,11002
06/12/2020,3836,218,4054
05/12/2020,4940,437,5377
04/12/2020,11226,578,11804
03/12/2020,10554,417,10971
07/12/2020,9893,345,10238
08/12/2020,10867,369,11236
10/12/2020,10815,360,11175
09/12/2020,10692,375,11067
13/12/2020,4176,309,4485
12/12/2020,5682,608,6290
14/12/2020,10208,395,10603
15/12/2020,10478,365,10843
11/12/2020,10925,666,11591
16/12/2020,10250,395,10645
17/12/2020,10593,434,11027
20/12/2020,4051,322,4373
18/12/2020,10468,547,11015
19/08/2019,14621,313,14934
18/02/2020,16291,583,16874
23/02/2020,7023,762,7785
22/02/2020,14457,2491,16948
21/02/2020,17328,1156,18484
19/02/2020,16170,573,16743
20/02/2020,16120,573,16693
25/02/2020,16772,495,17267
24/02/2020,15663,476,16139
26/02/2020,16641,538,17179
27/02/2020,16650,582,17232
29/02/2020,9750,1378,11128
28/02/2020,17859,923,18782
01/03/2020,6597,582,7179
02/03/2020,15837,467,16304
05/03/2020,14548,479,15027
08/03/2020,5381,574,5955
04/03/2020,14475,395,14870
06/03/2020,15675,624,16299
07/03/2020,6889,786,7675
03/03/2020,16560,580,17140
09/03/2020,5120,404,5524
10/03/2020,15904,458,16362
12/03/2020,15665,491,16156
11/03/2020,15735,540,16275
15/03/2020,4173,266,4439
14/03/2020,5521,585,6106
13/03/2020,14936,632,15568
16/03/2020,12624,300,12924
17/03/2020,12198,301,12499
18/03/2020,11201,285,11486
19/03/2020,10379,313,10692
20/03/2020,10214,320,10534
21/03/2020,3957,277,4234
22/03/2020,2824,131,2955
25/03/2020,3771,90,3861
23/03/2020,6507,128,6635
24/03/2020,4700,110,4810
28/03/2020,1444,51,1495
27/03/2020,3210,86,3296
26/03/2020,3395,79,3474
29/03/2020,1172,65,1237
30/03/2020,2512,56,2568
01/04/2020,2373,78,2451
31/03/2020,2429,60,2489
02/04/2020,1957,65,2022
03/04/2020,2264,77,2341
04/04/2020,1162,65,1227
05/04/2020,1017,41,1058
06/04/2020,2284,63,2347
07/04/2020,2141,74,2215
08/04/2020,2173,67,2240
09/04/2020,2193,68,2261
13/04/2020,921,44,965
12/04/2020,931,42,973
11/04/2020,1088,33,1121
10/04/2020,685,28,713
14/04/2020,2220,60,2280
15/04/2020,2204,80,2284
17/04/2020,2305,74,2379
16/04/2020,2243,58,2301
18/04/2020,1303,61,1364
19/04/2020,1075,38,1113
16/02/2020,4927,365,5292
15/02/2020,6349,624,6973
22/04/2019,4075,1418,5493
12/11/2019,15296,558,15854
07/11/2019,15353,440,15793
18/10/2019,15843,585,16428
28/07/2019,5207,373,5580
26/01/2020,4588,636,5224
09/06/2019,5430,744,6174
01/10/2019,15265,801,16066
20/06/2019,14790,348,15138
06/11/2019,15600,453,16053
24/07/2019,15491,389,15880
15/12/2019,5087,426,5513
18/12/2019,13573,525,14098
14/06/2019,15108,417,15525
09/01/2020,10645,469,11114
11/09/2019,14958,395,15353
09/05/2019,17347,226,17573
01/08/2019,16051,401,16452
31/12/2019,5529,743,6272
25/11/2019,14302,481,14783
29/07/2019,14807,328,15135
16/12/2019,13333,469,13802
29/04/2019,14969,332,15301
05/09/2019,14709,415,15124
28/01/2020,12400,459,12859
04/11/2019,14921,407,15328
05/12/2019,14704,535,15239
07/09/2019,7046,724,7770
22/10/2019,15825,405,16230
13/09/2019,16157,660,16817
03/12/2019,14794,493,15287
03/07/2019,13670,450,14120
23/05/2019,18033,218,18251
18/11/2019,14633,418,15051
09/12/2019,13957,498,14455
13/05/2019,16538,208,16746
11/05/2019,10512,523,11035
20/10/2019,5586,415,6001
21/12/2019,5509,566,6075
29/05/2019,14119,213,14332
25/05/2019,11226,667,11893
17/11/2019,5167,447,5614
22/09/2019,6029,504,6533
12/07/2019,11580,587,12167
